metric,pooled_iqr,median_shift_iqr,p90_shift_iqr
glcm_asm_d1,0.0026666294936883873,0.7867481177991443,1.8588271351439045
glcm_energy_d1,0.019100947326583163,0.7048851374210494,1.5567140062565197
glcm_correlation_d1,0.09400911330844808,0.41721928103369765,1.7759740039716236
glcm_asm_d3,0.0013017337172804653,0.5178388234738642,1.5401170569267955
glcm_energy_d3,0.011353722276270621,0.4922313013922288,1.2968822050293898
glcm_correlation_d3,0.1429690346347655,0.3057311481660634,1.1592520515948717
glcm_energy_angle_iqr_d3,0.0014888781918437552,0.5344093302157416,1.7097254195352813
lbp_r1_hist_entropy,0.027663342779679967,1.9332226885743813,4.029929838917547
lbp_r1_nonuniform_fraction,0.060666454081632654,0.9434954007884362,1.8572930354796324
lbp_r1_flat_fraction,0.032445790816326536,0.7788697788697787,1.926289926289926
lbp_r2_hist_entropy,0.021997290657979396,0.9276652668805389,2.7960940212995973
lbp_r2_nonuniform_fraction,0.06441326530612246,1.125,2.089108910891089
lbp_r3_hist_entropy,0.028881497518440935,0.7353339907739225,1.9737449102243936
lbp_r3_nonuniform_fraction,0.06748246173469385,0.9450679267572359,2.2461901949202607
local_entropy_r3,0.09160260383381391,0.566161308438428,1.2191579641182089
local_entropy_r5,0.08768586201492579,0.4784978693347698,1.0403155046828154
shannon_entropy_q32,0.014124255346278702,0.1648835588111433,0.4723361548373828
gabor_f08_energy,2.9689146280288696,0.20917130056417046,0.26918919010075903
gabor_f16_energy,0.102212343364954,0.20483298409613412,0.4631795624201797
gabor_f24_energy,0.08256485033780336,0.6196577177758223,1.610616839414261
gabor_f08_anisotropy,0.0011027567749822137,0.11018178215331456,0.23098054680966681
gabor_f16_anisotropy,0.020400468943725325,0.26655804443837183,1.049535791716736
gabor_f24_anisotropy,0.1517429986581192,0.4109109595877471,1.0995212580176132
gradient_orientation_entropy,0.014962631829741113,0.35848573323738,1.5753567776213284
gradient_orientation_anisotropy,0.021266728388527306,0.4637170428229671,1.5283575083222933
structure_tensor_coherence,0.12102312594652176,0.794670023589202,1.7464132648183281
structure_tensor_coherence_p90,0.01918846368789673,0.5741685278430959,1.551299199512937
hog_orientation_entropy,0.002425558865070343,0.5845008339655908,2.6950917362149953
hog_orientation_anisotropy,0.008045428432524204,0.8281504432431082,2.6404025692253006
hog_mean_energy,0.010446727275848389,0.8303716615221348,2.4205858775468285
black_tophat_density_r3,0.02048788265306123,0.6264591439688713,1.6264591439688714
black_tophat_std_r3,1.2061868160963058,0.4976139165271608,1.3896654660159318
blob_log_density,0.01092155612244898,0.5401459854014597,1.2554744525547445
blob_log_radius_median,0.5,2.0,4.0
harris_corner_density,1e-09,0.0,0.0
dog_zero_cross_density,0.02481737012987012,0.7179067865903517,1.8763695829926417
morph_gradient_std,0.6486613154411316,0.36963892611146965,1.0586123464781039
